"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimIslandGroup","IslandGroup","verbatimIsland","Island"
"Mammals","0101300010",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","77743",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","86149",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","77744",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","77920",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","86150",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","76026",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","33712",,"Pacific Ocean",,"Japanese Archipelago",,
"Mammals","3609250002",,,,"British Isles",,
"Mammals","28187",,"Caribbean Sea",,"Greater Antilles",,
"Mammals","91239",,"North Pacific Ocean",,"Hawaiian Islands",,"Hawaii"
"Mammals","79793",,"North Pacific Ocean",,"Hawaiian Islands",,"Hawaii"
"Mammals","79794",,"North Pacific Ocean",,"Hawaiian Islands",,"Hawaii"
